94437567,ZCL87,3,3,3,3,3,3,3,3,3,3
94437567,QR5T3,3,3,3,3,3,3,3,3,3,3
94437567,QR5T3,0,0,2,2,2,2,1,3,3,3
94437567,QR5T3,3,2,1,0,3,2,1,0,3,2
94437567,QR5T3,3,2,3,3,2,2,3,3,1,1
94437567,QR5T3,3,3,3,3,3,3,3,3,3,3
94437567,HVU1M,3,3,3,3,2,2,3,3,3,3
94437567,ZCL87,3,3,2,3,3,3,3,3,3,3
94437567,ZCL87,2,3,3,3,3,3,3,3,2,2
94437567,ZCL87,3,3,3,2,1,2,2,1,3,3
94437567,ZCL87,2,3,3,3,3,3,3,3,3,3
94437567,ZCL87,2,2,3,3,3,1,3,3,3,3
94437567,ZCL87,3,2,3,3,3,3,3,2,3,3
94437567,HVU1M,2,3,0,3,1,2,3,2,2,3
94437567,ZCL87,3,3,3,3,3,3,3,3,3,3
94437567,HVU1M,2,2,2,2,2,2,2,2,3,3
94437567,ZCL87,2,2,2,3,3,3,3,2,3,3
94437567,ZCL87,3,3,3,3,3,3,3,3,3,3
94437567,ZCL87,2,3,3,3,3,2,2,3,3,3
94437567,ZCL87,2,2,2,2,2,2,2,1,2,3
94437567,ZCL87,1,1,1,2,1,3,2,1,2,3
94437567,ZCL87,1,1,1,0,2,2,2,1,2,2
94437567,ZCL87,2,1,1,1,1,1,2,1,2,3
94437567,ZCL87,1,1,1,2,1,1,1,2,2,2
94437567,ZCL87,3,3,3,3,3,3,3,3,3,3
94437567,ZCL87,3,3,3,3,3,3,3,3,3,3
94437567,QR5T3,3,3,3,3,2,2,2,2,2,3
94437567,ZCL87,2,3,3,3,3,3,3,3,2,3
94437567,HVU1M,2,2,3,2,3,2,2,3,3,3
94437567,,3,2,3,3,3,3,2,3,3,3
94437567,,0,2,2,2,2,2,1,2,3,1
94437567,,2,2,2,2,1,0,2,2,2,1
94437567,,0,1,1,1,0,2,1,1,2,0
94437567,,1,2,2,2,1,1,1,1,1,1
